Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change
A,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,24030000000,21.06,75.88,0.42%
AA,Alcoa Corporation,Basic Materials,Aluminum,USA,5500000000,-,28.13,-1.39%
AAL,American Airlines Group Inc.,Services,Major Airlines,USA,15260000000,11.19,34.17,0.57%
AAP,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,12460000000,30.5,173.3,0.48%
AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,9.7482E+11,17.38,207.79,0.15%
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,1.1689E+11,21.71,79.34,0.86%
ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,15470000000,14.21,73.8,0.50%
ABMD,"ABIOMED, Inc.",Healthcare,Medical Appliances & Equipment,USA,11590000000,54.69,267.86,2.16%
ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,1.3401E+11,54.67,76.26,0.21%
ACN,Accenture plc,Technology,Information Technology Services,Ireland,1.2124E+11,26.02,180.99,0.28%
ADBE,Adobe Inc.,Technology,Application Software,USA,1.3592E+11,50.44,278.95,0.17%
ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,USA,42070000000,26.78,116.72,2.29%
ADM,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,24070000000,13.62,42.85,0.36%
ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,72080000000,39.04,164.3,-0.45%
ADS,Alliance Data Systems Corporation,Services,Business Services,USA,8740000000,9.6,162.85,-0.10%
ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,38470000000,-,176.02,0.42%
AEE,Ameren Corporation,Utilities,Electric Utilities,USA,17490000000,21.44,71.77,0.87%
AEP,"American Electric Power Company, Inc.",Utilities,Electric Utilities,USA,41320000000,21.57,83.88,0.36%
AES,The AES Corporation,Utilities,Electric Utilities,USA,11740000000,11.52,17.71,-0.23%
AFL,Aflac Incorporated,Financial,Accident & Health Insurance,USA,36720000000,12.91,48.76,-0.32%
AGN,Allergan plc,Healthcare,Drugs - Generic,USA,47210000000,-,140.85,-0.93%
AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,USA,40800000000,-,45.85,-0.28%
AIV,Apartment Investment and Management Company,Financial,REIT - Residential,USA,7220000000,11.24,49.32,1.15%
AIZ,"Assurant, Inc.",Financial,Accident & Health Insurance,USA,5790000000,22.47,93.28,0.24%
AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,15080000000,23.61,82.03,0.55%
AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers,USA,12790000000,43.31,78.23,0.73%
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,8380000000,12.98,78.39,-0.83%
ALGN,"Align Technology, Inc.",Healthcare,Medical Appliances & Equipment,USA,23030000000,60.15,293.62,-0.83%
ALK,"Alaska Air Group, Inc.",Services,Regional Airlines,USA,7510000000,17.27,61.18,0.48%
ALL,The Allstate Corporation,Financial,Property & Casualty Insurance,USA,32630000000,16.78,96.91,-0.39%
ALLE,Allegion plc,Services,Security & Protection Services,Ireland,9080000000,22.23,95.46,-0.55%
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,29560000000,1719.09,129.92,-1.85%
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,41560000000,10.91,44.69,1.96%
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductor - Broad Line,USA,30040000000,87.13,28.28,1.13%
AME,"AMETEK, Inc.",Industrial Goods,Diversified Machinery,USA,20040000000,26.52,87.69,0.46%
AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,USA,5830000000,26.71,113.45,-0.90%
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - Major,USA,1.1384E+11,14.27,180.6,0.47%
AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,19610000000,10.21,144.45,-0.28%
AMT,American Tower Corporation (REIT),Financial,REIT - Diversified,USA,84710000000,69.82,194.25,0.44%
AMZN,"Amazon.com, Inc.",Services,Catalog & Mail Order Houses,USA,9.4819E+11,96.99,1920.74,-0.16%
ANET,"Arista Networks, Inc.",Technology,Diversified Computer Systems,USA,24660000000,77.98,326.8,1.79%
ANSS,"ANSYS, Inc.",Technology,Application Software,USA,16160000000,39.26,193.9,0.88%
ANTM,"Anthem, Inc.",Healthcare,Health Care Plans,USA,64770000000,17.78,250.43,-0.08%
AON,Aon plc,Financial,Insurance Brokers,United Kingdom,42860000000,38.5,178.41,0.02%
AOS,A. O. Smith Corporation,Industrial Goods,Industrial Electrical Equipment,USA,9370000000,21.81,56.21,-0.12%
APA,Apache Corporation,Basic Materials,Independent Oil & Gas,USA,14060000000,46.35,36.06,-1.03%
APC,Anadarko Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,32040000000,45.87,71.24,11.33%
APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals - Major Diversified,USA,43120000000,26.14,201.34,2.37%
APH,Amphenol Corporation,Technology,Diversified Electronics,USA,31580000000,25.47,101.48,-3.70%
ATO,Atmos Energy Corporation,Utilities,Gas Utilities,USA,11670000000,25.11,100.16,0.59%
ATVI,"Activision Blizzard, Inc.",Technology,Multimedia & Graphics Software,USA,35270000000,23.45,46.71,0.43%
AVB,"AvalonBay Communities, Inc.",Financial,REIT - Residential,USA,26900000000,27.94,198.18,0.98%
AVGO,Broadcom Inc.,Technology,Semiconductor - Broad Line,Singapore,1.2569E+11,27.4,313.68,-0.62%
AVY,Avery Dennison Corporation,Consumer Goods,Business Equipment,USA,9760000000,21.8,112.27,-3.22%
AWK,"American Water Works Company, Inc.",Utilities,Water Utilities,USA,18860000000,32.56,105.58,0.74%
AXP,American Express Company,Financial,Credit Services,USA,96530000000,15.56,113.79,-0.16%
AZO,"AutoZone, Inc.",Services,Auto Parts Stores,USA,26240000000,19.97,1054.5,0.64%
BA,The Boeing Company,Industrial Goods,Aerospace/Defense Products & Services,USA,2.1349E+11,20.93,376.42,0.64%
BAC,Bank of America Corporation,Financial,Money Center Banks,USA,2.8984E+11,11.17,29.92,-0.49%
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,USA,39050000000,29.29,76.2,-0.18%
BBT,BB&T Corporation,Financial,Regional - Southeast Banks,USA,38220000000,12.78,49.17,-0.75%
BBY,"Best Buy Co., Inc.",Services,Electronics Stores,USA,19650000000,13.8,75.04,1.93%
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,USA,61350000000,47.4,229.87,0.80%
BEN,"Franklin Resources, Inc.",Financial,Asset Management,USA,18190000000,12.33,35.75,0.85%
BF-B,Brown-Forman Corporation,Consumer Goods,Beverages - Wineries & Distillers,USA,25110000000,36.84,53.21,0.66%
BHGE,"Baker Hughes, a GE company",Basic Materials,Oil & Gas Equipment & Services,USA,27110000000,127.93,26.05,0.31%
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - Major,USA,45440000000,10.6,225.27,-2.15%
BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,46220000000,12.33,47.97,-1.02%
BKNG,Booking Holdings Inc.,Services,Business Services,USA,84760000000,22.91,1891.54,0.20%
BLK,"BlackRock, Inc.",Financial,Asset Management,USA,73520000000,23.83,479.89,1.24%
BLL,Ball Corporation,Consumer Goods,Packaging & Containers,USA,20100000000,41.15,59.44,-0.11%
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - Major,USA,74510000000,14.91,45.01,-0.69%
BR,"Broadridge Financial Solutions, Inc.",Technology,Information & Delivery Services,USA,13450000000,31.35,117.14,1.80%
BRK-B,Berkshire Hathaway Inc.,Financial,Property & Casualty Insurance,USA,5.2204E+11,129.82,211.39,-0.10%
BSX,Boston Scientific Corporation,Healthcare,Medical Appliances & Equipment,USA,49620000000,31.34,35.33,-1.55%
BWA,BorgWarner Inc.,Consumer Goods,Auto Parts,USA,9040000000,9.96,43.4,-0.53%
BXP,"Boston Properties, Inc.",Financial,REIT - Office,USA,20820000000,36.43,136.1,0.97%
C,Citigroup Inc.,Financial,Money Center Banks,USA,1.6354E+11,10.06,68.57,-0.92%
CAG,"Conagra Brands, Inc.",Consumer Goods,Processed & Packaged Goods,USA,15020000000,21.3,31,0.36%
CAH,"Cardinal Health, Inc.",Services,Drugs Wholesale,USA,13780000000,-,46.56,1.04%
CAT,Caterpillar Inc.,Industrial Goods,Farm & Construction Machinery,USA,82330000000,14.12,137.05,-3.51%
CBOE,"Cboe Global Markets, Inc.",Financial,Diversified Investments,USA,,-,101.55,0.43%
CBRE,"CBRE Group, Inc.",Financial,Property Management,USA,17200000000,16.41,51.61,0.23%
CBS,CBS Corporation,Services,Entertainment - Diversified,USA,19290000000,10.26,51.55,0.41%
CCI,Crown Castle International Corp. (REIT),Technology,Diversified Communication Services,USA,51960000000,91.77,124.1,0.54%
CCL,Carnival Corporation,Services,Resorts & Casinos,USA,37600000000,12.25,53.16,-1.10%
CDNS,"Cadence Design Systems, Inc.",Technology,Application Software,USA,18930000000,54.45,68.03,1.99%
CE,Celanese Corporation,Basic Materials,Chemicals - Major Diversified,USA,14370000000,12.64,111.36,-0.72%
CELG,Celgene Corporation,Healthcare,Drug Manufacturers - Major,USA,66180000000,16.93,93.34,-0.35%
CERN,Cerner Corporation,Technology,Healthcare Information Services,USA,20600000000,33.79,64.14,0.49%
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Chemicals,USA,10210000000,34.07,44.36,-0.47%
CFG,"Citizens Financial Group, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,16870000000,10.42,35.64,-1.27%
CHD,"Church & Dwight Co., Inc.",Consumer Goods,Cleaning Products,USA,18100000000,32.38,73.48,0.05%
CHRW,"C.H. Robinson Worldwide, Inc.",Services,Air Delivery & Freight Services,USA,12500000000,19.06,91.52,0.87%
CHTR,"Charter Communications, Inc.",Services,CATV Systems,USA,81200000000,68.39,360.55,0.54%
CI,Cigna Corporation,Healthcare,Health Care Plans,USA,57030000000,14.4,152.89,-0.60%
CINF,Cincinnati Financial Corporation,Financial,Property & Casualty Insurance,USA,14160000000,50.35,87.35,0.45%
CL,Colgate-Palmolive Company,Consumer Goods,Personal Products,USA,59810000000,24.29,69.07,0.09%
CLX,The Clorox Company,Consumer Goods,Housewares & Accessories,USA,19660000000,25.41,154.58,0.68%
CMA,Comerica Incorporated,Financial,Money Center Banks,USA,12640000000,11.07,76.1,-3.68%
CMCSA,Comcast Corporation,Services,Entertainment - Diversified,USA,1.9067E+11,16.59,42,0.02%
CME,CME Group Inc.,Financial,Investment Brokerage - National,USA,62740000000,30.56,175.04,0.14%
CMG,"Chipotle Mexican Grill, Inc.",Services,Restaurants,USA,19500000000,115.46,703.11,0.09%
CMI,Cummins Inc.,Industrial Goods,Diversified Machinery,USA,26490000000,12.82,166.99,0.11%
CMS,CMS Energy Corporation,Utilities,Electric Utilities,USA,15460000000,24.43,54.49,0.55%
CNC,Centene Corporation,Healthcare,Health Care Plans,USA,20690000000,21.61,50.36,0.10%
CNP,"CenterPoint Energy, Inc.",Utilities,Gas Utilities,USA,15340000000,41.6,30.56,-0.20%
COF,Capital One Financial Corporation,Financial,Credit Services,USA,41170000000,7.45,88.29,0.11%
COG,Cabot Oil & Gas Corporation,Basic Materials,Independent Oil & Gas,USA,11470000000,21.26,26.14,-0.19%
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,USA,14060000000,39.74,286.29,-0.16%
COP,ConocoPhillips,Basic Materials,Independent Oil & Gas,USA,76480000000,12.48,65.79,-1.00%
COST,Costco Wholesale Corporation,Services,"Discount, Variety Stores",USA,1.0792E+11,32.41,247.36,0.72%
CPB,Campbell Soup Company,Consumer Goods,Processed & Packaged Goods,USA,11640000000,-,39.31,1.05%
CPRI,Capri Holdings Limited,Consumer Goods,Textile - Apparel Clothing,United Kingdom,6870000000,12.13,46.01,-0.15%
CPRT,"Copart, Inc.",Services,Auto Dealerships,USA,14970000000,33.23,66.23,0.56%
CRM,"salesforce.com, inc.",Technology,Application Software,USA,1.2379E+11,107.99,161.09,-0.09%
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,2.534E+11,21.88,56.88,0.34%
CSX,CSX Corporation,Services,Railroads,USA,64190000000,19.33,80.3,1.62%
CTAS,Cintas Corporation,Services,Business Services,USA,21920000000,28.27,214.43,0.48%
CTL,"CenturyLink, Inc.",Technology,Telecom Services - Domestic,USA,12910000000,-,11.77,-0.88%
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,42370000000,20.29,72.75,-0.14%
CTXS,"Citrix Systems, Inc.",Technology,Business Software & Services,USA,13300000000,26.8,101.13,0.25%
CVS,CVS Health Corporation,Healthcare,Health Care Plans,USA,68650000000,-,52.82,-0.27%
CVX,Chevron Corporation,Basic Materials,Major Integrated Oil & Gas,USA,2.3321E+11,15.78,119.37,-2.17%
CXO,Concho Resources Inc.,Basic Materials,Oil & Gas Drilling & Exploration,USA,24370000000,10.24,121.79,-0.62%
D,"Dominion Energy, Inc.",Utilities,Electric Utilities,USA,60600000000,19.83,75.79,0.45%
DAL,"Delta Air Lines, Inc.",Services,Major Airlines,USA,38320000000,9.72,58.35,0.19%
DE,Deere & Company,Industrial Goods,Farm & Construction Machinery,USA,53430000000,17.52,166.69,-0.64%
DFS,Discover Financial Services,Financial,Credit Services,USA,25090000000,9.9,76.98,-0.28%
DG,Dollar General Corporation,Services,"Discount, Variety Stores",USA,32390000000,20.94,125.84,1.30%
DGX,Quest Diagnostics Incorporated,Healthcare,Medical Laboratories & Research,USA,12520000000,17.99,94.75,1.79%
DHI,"D.R. Horton, Inc.",Industrial Goods,Residential Construction,USA,17080000000,11.4,46.6,0.43%
DHR,Danaher Corporation,Industrial Goods,Diversified Machinery,USA,90090000000,34.29,127.78,0.00%
DIS,The Walt Disney Company,Services,Entertainment - Diversified,USA,2.3846E+11,18.43,134.18,0.61%
DISCA,"Discovery, Inc.",Services,CATV Systems,USA,14870000000,36.03,30.09,2.10%
DISCK,"Discovery, Inc.",Services,CATV Systems,USA,,37.64,28.06,1.85%
DISH,DISH Network Corporation,Services,CATV Systems,USA,15660000000,11.23,34,1.01%
DLPH,Delphi Technologies PLC,Consumer Goods,Auto Parts,United Kingdom,2200000000,6.12,24.56,-1.01%
DLR,"Digital Realty Trust, Inc.",Financial,REIT - Office,USA,24150000000,97.02,119.18,1.60%
DLTR,"Dollar Tree, Inc.",Services,"Discount, Variety Stores",USA,25880000000,-,110.07,0.70%
DO,"Diamond Offshore Drilling, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,1730000000,-,12.1,-2.47%
DOV,Dover Corporation,Industrial Goods,Diversified Machinery,USA,14030000000,25.17,97.6,0.01%
DOW,Dow Inc.,Basic Materials,Chemicals - Major Diversified,USA,43560000000,14.71,57.59,-0.09%
DRE,Duke Realty Corporation,Financial,REIT - Industrial,USA,10850000000,28.67,30.49,0.79%
DRI,"Darden Restaurants, Inc.",Services,Restaurants,USA,14430000000,21.49,117.9,0.77%
DTE,DTE Energy Company,Utilities,Electric Utilities,USA,22490000000,19.56,123.28,0.11%
DUK,Duke Energy Corporation,Utilities,Electric Utilities,USA,64710000000,23.63,89.55,0.61%
DVA,DaVita Inc.,Healthcare,Specialized Health Services,USA,8800000000,14.9,53.45,0.79%
DVN,Devon Energy Corporation,Basic Materials,Independent Oil & Gas,USA,15010000000,28.91,34.7,0.29%
DWDP,DowDuPont Inc.,Basic Materials,Chemicals - Major Diversified,USA,86410000000,23.56,38.48,0.52%
EA,Electronic Arts Inc.,Technology,Multimedia & Graphics Software,USA,28580000000,19.83,95.09,0.49%
EBAY,eBay Inc.,Services,"Specialty Retail, Other",USA,33540000000,17.63,38.46,4.88%
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,USA,53100000000,35.3,184.58,0.10%
ED,"Consolidated Edison, Inc.",Utilities,Electric Utilities,USA,27620000000,19.06,84.61,0.50%
EFX,Equifax Inc.,Financial,Credit Services,USA,15160000000,50.68,125.67,0.42%
EIX,Edison International,Utilities,Electric Utilities,USA,20830000000,-,64.09,0.74%
EL,The Estee Lauder Companies Inc.,Consumer Goods,Personal Products,USA,61510000000,37.73,170.7,-0.24%
EMN,Eastman Chemical Company,Basic Materials,Chemicals - Major Diversified,USA,11530000000,11.29,82.72,-0.74%
EMR,Emerson Electric Co.,Industrial Goods,Industrial Electrical Equipment,USA,44840000000,22.79,72.8,-0.49%
EOG,"EOG Resources, Inc.",Basic Materials,Independent Oil & Gas,USA,60630000000,18.38,105.27,-1.25%
EQIX,"Equinix, Inc. (REIT)",Technology,Internet Software & Services,USA,37600000000,100.67,451.54,0.30%
EQR,Equity Residential,Financial,REIT - Residential,USA,27440000000,42.33,75.75,1.05%
EQT,EQT Corporation,Basic Materials,Independent Oil & Gas,USA,5570000000,-,20.79,-1.05%
ES,Eversource Energy,Utilities,Diversified Utilities,USA,22420000000,21.57,70.76,0.52%
ESS,"Essex Property Trust, Inc.",Financial,REIT - Residential,USA,17950000000,46.9,279.27,0.85%
ETFC,E*TRADE Financial Corporation,Financial,Investment Brokerage - National,USA,12740000000,12.98,49.52,-1.86%
ETN,Eaton Corporation plc,Industrial Goods,Diversified Machinery,Ireland,36790000000,17.42,85.36,-0.27%
ETR,Entergy Corporation,Utilities,Electric Utilities,USA,17850000000,20.35,94.65,0.37%
