Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change
EW,Edwards Lifesciences Corporation,Healthcare,Medical Appliances & Equipment,USA,37710000000,51.83,178.75,-1.23%
EXC,Exelon Corporation,Utilities,Diversified Utilities,USA,47750000000,23.99,50.03,0.58%
EXPD,"Expeditors International of Washington, Inc.",Services,Air Delivery & Freight Services,USA,13690000000,22.29,80.42,0.55%
EXPE,"Expedia Group, Inc.",Services,Lodging,USA,18570000000,47.61,125.15,-0.58%
EXR,Extra Space Storage Inc.,Financial,REIT - Industrial,USA,12630000000,32.31,101.25,1.16%
F,Ford Motor Company,Consumer Goods,Auto Manufacturers - Major,USA,37700000000,10.7,9.43,-0.74%
FANG,"Diamondback Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,18540000000,14.07,110.55,-1.13%
FAST,Fastenal Company,Services,Industrial Equipment Wholesale,USA,20340000000,26.84,71.75,0.92%
FB,"Facebook, Inc.",Technology,Internet Information Providers,USA,5.2628E+11,24.25,183.88,0.05%
FBHS,"Fortune Brands Home & Security, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,6960000000,18.25,49.98,1.26%
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,USA,19780000000,7.9,13.35,-0.85%
FDX,FedEx Corporation,Services,Air Delivery & Freight Services,USA,50820000000,16.25,195.5,0.19%
FE,FirstEnergy Corp.,Utilities,Electric Utilities,USA,21510000000,30.27,41.38,1.57%
FFIV,"F5 Networks, Inc.",Technology,Business Software & Services,USA,9810000000,20.19,166.44,1.52%
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,36540000000,44.18,112.78,-0.02%
FISV,"Fiserv, Inc.",Services,Business Services,USA,34230000000,29.93,86.39,-0.79%
FITB,Fifth Third Bancorp,Financial,Regional - Midwest Banks,USA,18530000000,9.31,28.03,-1.13%
FL,"Foot Locker, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,6870000000,13.63,61.19,1.58%
FLIR,"FLIR Systems, Inc.",Technology,Scientific & Technical Instruments,USA,6800000000,25.09,52.01,2.68%
FLR,Fluor Corporation,Industrial Goods,Heavy Construction,USA,5830000000,26.14,41.33,-0.55%
FLS,Flowserve Corporation,Industrial Goods,Diversified Machinery,USA,6560000000,57.78,49.96,-0.38%
FLT,"FleetCor Technologies, Inc.",Services,Business Services,USA,22010000000,28.21,257.04,0.14%
FMC,FMC Corporation,Basic Materials,Chemicals - Major Diversified,USA,10650000000,16.34,80.04,-0.12%
FOSL,"Fossil Group, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,646010000,-,12.97,-0.08%
FOX,Fox Corporation,Services,Entertainment - Diversified,USA,,5.05,37.51,-0.24%
FOXA,Fox Corporation,Services,Entertainment - Diversified,USA,23710000000,15.35,38.04,-0.09%
FRC,First Republic Bank,Financial,Money Center Banks,USA,17710000000,21.54,105.57,-0.65%
FRT,Federal Realty Investment Trust,Financial,REIT - Retail,USA,9720000000,43.58,133.43,1.51%
FSLR,"First Solar, Inc.",Technology,Semiconductor - Specialized,USA,6580000000,49.06,62,0.61%
FTI,TechnipFMC plc,Basic Materials,Oil & Gas Equipment & Services,USA,11470000000,-,25.27,-0.67%
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,USA,29510000000,36.1,88.99,0.03%
GD,General Dynamics Corporation,Industrial Goods,Aerospace/Defense Products & Services,USA,51970000000,16.24,187.51,2.82%
GE,General Electric Company,Industrial Goods,Diversified Machinery,USA,81140000000,-,9.23,-1.07%
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - Major,USA,80750000000,15.14,62.72,-0.50%
GIS,"General Mills, Inc.",Consumer Goods,Processed & Packaged Goods,USA,30560000000,20.32,51.19,0.36%
GLW,Corning Incorporated,Technology,Diversified Electronics,USA,27410000000,33.22,34.82,-0.09%
GM,General Motors Company,Consumer Goods,Auto Manufacturers - Major,USA,55710000000,6.96,39.51,-0.80%
GOOG,Alphabet Inc.,Technology,Internet Information Providers,USA,8.6105E+11,28.94,1263.4,-0.09%
GOOGL,Alphabet Inc.,Technology,Internet Information Providers,USA,8.8099E+11,29.07,1269.3,-0.10%
GPC,Genuine Parts Company,Services,"Specialty Retail, Other",USA,16400000000,19.12,105.24,0.01%
GPN,Global Payments Inc.,Services,Business Services,USA,22520000000,53.36,142.94,-0.54%
GPS,"The Gap, Inc.",Services,Apparel Stores,USA,9560000000,9.35,25.6,2.20%
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,Switzerland,16410000000,23.77,87.11,0.19%
GS,"The Goldman Sachs Group, Inc.",Financial,Investment Brokerage - National,USA,75600000000,8.97,202.26,-0.92%
GWW,"W.W. Grainger, Inc.",Services,Industrial Equipment Wholesale,USA,16310000000,21.38,295.4,0.76%
HAL,Halliburton Company,Basic Materials,Oil & Gas Equipment & Services,USA,27590000000,16.97,30.49,-2.12%
HAS,"Hasbro, Inc.",Consumer Goods,Toys & Games,USA,12880000000,49.41,101.47,0.81%
HBAN,Huntington Bancshares Incorporated,Financial,Regional - Midwest Banks,USA,14730000000,11.55,13.58,-1.52%
HBI,Hanesbrands Inc.,Consumer Goods,Textile - Apparel Clothing,USA,6770000000,12.46,18.92,0.53%
HCA,"HCA Healthcare, Inc.",Healthcare,Hospitals,USA,40130000000,13.21,121.21,0.86%
HCP,"HCP, Inc.",Financial,REIT - Healthcare Facilities,USA,13810000000,13.52,29.86,1.00%
HD,"The Home Depot, Inc.",Services,Home Improvement Stores,USA,2.282E+11,21.34,207.63,0.77%
HES,Hess Corporation,Basic Materials,Independent Oil & Gas,USA,20460000000,-,66.8,-0.98%
HFC,HollyFrontier Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,8490000000,7.92,47.56,-2.12%
HIG,"The Hartford Financial Services Group, Inc.",Financial,Property & Casualty Insurance,USA,18360000000,12.92,51.11,0.00%
HII,"Huntington Ingalls Industries, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,9360000000,11.81,226.23,0.25%
HLT,Hilton Worldwide Holdings Inc.,Services,Lodging,USA,25850000000,34.42,87.73,-0.20%
HOG,"Harley-Davidson, Inc.",Consumer Goods,Recreational Vehicles,USA,6210000000,12.24,37.87,-2.70%
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,USA,11850000000,-,44.48,0.50%
HON,Honeywell International Inc.,Industrial Goods,Diversified Machinery,USA,1.2611E+11,28.1,171.44,-0.22%
HP,"Helmerich & Payne, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,6930000000,-,62.31,-1.11%
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,USA,23160000000,12.41,16.57,0.21%
HPQ,HP Inc.,Technology,Diversified Computer Systems,USA,30780000000,9.19,20.1,0.07%
HRB,"H&R Block, Inc.",Services,Personal Services,USA,5410000000,8.23,26.24,-0.27%
HRL,Hormel Foods Corporation,Consumer Goods,Meat Products,USA,21190000000,22.73,39.88,1.63%
HRS,Harris Corporation,Technology,Communication Equipment,USA,19820000000,25.17,167.63,0.07%
HSIC,"Henry Schein, Inc.",Services,Medical Equipment Wholesale,USA,9600000000,18.55,63.5,0.38%
HST,"Host Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,USA,13940000000,12.89,18.97,0.26%
HSY,The Hershey Company,Consumer Goods,Confectioners,USA,24320000000,21.09,117.51,0.56%
HUM,Humana Inc.,Healthcare,Health Care Plans,USA,33930000000,19.98,248.85,0.16%
IBM,International Business Machines Corporation,Technology,Information Technology Services,USA,1.2659E+11,11.93,140.99,0.40%
ICE,"Intercontinental Exchange, Inc.",Financial,Diversified Investments,USA,45730000000,23.52,80.56,0.04%
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostic Substances,USA,19050000000,52.37,225.02,0.25%
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,USA,15120000000,30.49,136.76,0.28%
ILMN,"Illumina, Inc.",Healthcare,Medical Instruments & Supplies,USA,47290000000,57.42,316.85,-1.62%
INCY,Incyte Corporation,Healthcare,Biotechnology,USA,16240000000,149.62,74.44,-1.29%
INFO,IHS Markit Ltd.,Services,Business Services,United Kingdom,22340000000,56.29,56.5,0.37%
INTC,Intel Corporation,Technology,Semiconductor - Broad Line,USA,2.6475E+11,13.29,58.94,0.26%
INTU,Intuit Inc.,Technology,Application Software,USA,68430000000,47.22,266.98,0.49%
IP,International Paper Company,Consumer Goods,Packaging & Containers,USA,17970000000,11.18,44.7,0.02%
IPG,"The Interpublic Group of Companies, Inc.",Services,Advertising Agencies,USA,8640000000,14.17,22.37,-0.49%
IPGP,IPG Photonics Corporation,Technology,Semiconductor Equipment & Materials,USA,9400000000,23.47,179.17,0.27%
IQV,IQVIA Holdings Inc.,Healthcare,Medical Laboratories & Research,USA,26930000000,127.46,135.68,-0.98%
IR,Ingersoll-Rand Plc,Industrial Goods,Diversified Machinery,Ireland,27470000000,20.97,113.68,0.24%
IRM,Iron Mountain Incorporated,Technology,Business Software & Services,USA,10310000000,27.37,36.42,1.56%
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,USA,57390000000,52.67,507.18,1.35%
IT,"Gartner, Inc.",Technology,Information Technology Services,USA,14250000000,125.48,160.27,0.50%
ITW,Illinois Tool Works Inc.,Industrial Goods,Diversified Machinery,USA,50920000000,20.77,157.73,-0.13%
IVZ,Invesco Ltd.,Financial,Asset Management,USA,8740000000,10.05,21.51,-0.51%
JBHT,"J.B. Hunt Transport Services, Inc.",Services,Trucking,USA,10800000000,21.26,98.58,0.60%
JCI,Johnson Controls International plc,Consumer Goods,Auto Parts,USA,34060000000,17.7,36.88,-0.22%
JEC,Jacobs Engineering Group Inc.,Services,Technical Services,USA,11180000000,25.23,80.75,0.52%
JEF,Jefferies Financial Group Inc.,Financial,Asset Management,USA,6010000000,9.89,19.93,-0.85%
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - Major,USA,3.7523E+11,25.91,139.36,-0.39%
JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,USA,9850000000,17.51,28.59,0.81%
JPM,JPMorgan Chase & Co.,Financial,Money Center Banks,USA,3.7215E+11,12.27,113.04,-0.62%
JWN,"Nordstrom, Inc.",Services,Apparel Stores,USA,6470000000,12.63,42,0.53%
K,Kellogg Company,Consumer Goods,Processed & Packaged Goods,USA,19960000000,15.35,58.66,0.39%
KEY,KeyCorp,Financial,Regional - Midwest Banks,USA,17600000000,10.09,16.94,-1.37%
KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,USA,17050000000,110.5,92.76,0.54%
KHC,The Kraft Heinz Company,Consumer Goods,Food - Major Diversified,USA,40280000000,-,32.51,-1.78%
KIM,Kimco Realty Corporation,Financial,REIT - Retail,USA,7250000000,36.82,17.82,1.89%
KLAC,KLA-Tencor Corporation,Technology,Semiconductor Equipment & Materials,USA,18740000000,13.79,124.96,1.47%
KMB,Kimberly-Clark Corporation,Consumer Goods,Personal Products,USA,43190000000,28.73,125.15,-0.37%
KMI,"Kinder Morgan, Inc.",Basic Materials,Oil & Gas Pipelines,USA,46160000000,28.98,19.97,-0.57%
KMX,"CarMax, Inc.",Services,Auto Dealerships,USA,13020000000,16.13,77.5,0.21%
KO,The Coca-Cola Company,Consumer Goods,Beverages - Soft Drinks,USA,2.0524E+11,30.94,48.08,-0.27%
KR,The Kroger Co.,Services,Grocery Stores,USA,20130000000,6.82,25.25,0.10%
KSS,Kohl's Corporation,Services,Department Stores,USA,12220000000,15.52,73.96,-2.01%
KSU,Kansas City Southern,Services,Railroads,USA,12470000000,20.92,125.29,0.98%
L,Loews Corporation,Financial,Property & Casualty Insurance,USA,15280000000,25.2,49.5,0.12%
LB,"L Brands, Inc.",Services,Apparel Stores,USA,6960000000,10.99,25.5,0.75%
LEG,"Leggett & Platt, Incorporated",Consumer Goods,Home Furnishings & Fixtures,USA,5640000000,19.1,43.08,0.24%
LEN,Lennar Corporation,Industrial Goods,Residential Construction,USA,16230000000,9.54,52.67,0.40%
LH,Laboratory Corporation of America Holdings,Healthcare,Medical Laboratories & Research,USA,15160000000,16.73,153.43,1.41%
LIN,Linde plc,Basic Materials,Specialty Chemicals,United Kingdom,97450000000,16.47,179.18,-0.08%
LKQ,LKQ Corporation,Consumer Goods,Auto Parts,USA,9970000000,20.38,31.39,0.16%
LLL,"L3 Technologies, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,17230000000,21.56,217.16,0.19%
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - Major,USA,1.2307E+11,35.59,117.74,0.21%
LM,"Legg Mason, Inc.",Financial,Asset Management,USA,2900000000,-,33.63,-0.30%
LMT,Lockheed Martin Corporation,Industrial Goods,Aerospace/Defense Products & Services,USA,94370000000,19.1,330.57,-0.76%
LNC,Lincoln National Corporation,Financial,Life Insurance,USA,13520000000,8.94,65.23,-1.38%
LNT,Alliant Energy Corporation,Utilities,Electric Utilities,USA,10960000000,21.34,46.59,0.76%
LOW,"Lowe's Companies, Inc.",Services,Home Improvement Stores,USA,93060000000,40.45,114.28,0.65%
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,USA,29950000000,11.97,196.56,0.91%
LUV,Southwest Airlines Co.,Services,Regional Airlines,USA,29180000000,12.27,52.73,-0.11%
LW,"Lamb Weston Holdings, Inc.",Consumer Goods,Food - Major Diversified,USA,10320000000,23.84,69.35,-0.19%
LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,Netherlands,34060000000,7.66,91.21,-0.87%
M,"Macy's, Inc.",Services,Department Stores,USA,7600000000,7.05,24.58,-0.28%
MA,Mastercard Incorporated,Financial,Credit Services,USA,2.4991E+11,44.09,244.32,0.34%
MAC,Macerich Company,Financial,REIT - Retail,USA,5820000000,98.87,41.72,1.19%
MAR,"Marriott International, Inc.",Services,Lodging,USA,46400000000,25.89,135.45,-0.61%
MAS,Masco Corporation,Industrial Goods,General Building Materials,USA,11750000000,16.84,40.28,0.71%
MAT,"Mattel, Inc.",Consumer Goods,Toys & Games,USA,4410000000,-,12.06,-1.19%
MCD,McDonald's Corporation,Services,Restaurants,USA,1.5019E+11,25.56,197.24,1.01%
MCHP,Microchip Technology Incorporated,Technology,Semiconductor - Broad Line,USA,23390000000,103.98,98.33,0.17%
MCK,McKesson Corporation,Services,Drugs Wholesale,USA,22350000000,-,115.33,0.11%
MCO,Moody's Corporation,Services,Business Services,USA,35410000000,29.33,189.78,0.60%
MDLZ,"Mondelez International, Inc.",Consumer Goods,Confectioners,USA,73010000000,21.92,50.67,0.62%
MDT,Medtronic plc,Healthcare,Medical Appliances & Equipment,USA,1.1482E+11,22.69,85.33,0.27%
MET,"MetLife, Inc.",Financial,Life Insurance,USA,43960000000,9.21,44.89,-1.19%
MGM,MGM Resorts International,Services,Resorts & Casinos,USA,14790000000,34.6,27.45,-0.20%
MHK,"Mohawk Industries, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,9650000000,11.31,133.05,-0.81%
MKC,"McCormick & Company, Incorporated",Consumer Goods,Processed & Packaged Goods,USA,19720000000,30.82,152.01,0.48%
MLM,"Martin Marietta Materials, Inc.",Industrial Goods,General Building Materials,USA,13130000000,28.54,214.41,1.08%
MMC,"Marsh & McLennan Companies, Inc.",Financial,Insurance Brokers,USA,48470000000,29.51,94.86,0.07%
MMM,3M Company,Industrial Goods,Diversified Machinery,USA,1.2746E+11,23.88,218.38,-0.51%
MNST,Monster Beverage Corporation,Consumer Goods,Beverages - Soft Drinks,USA,30370000000,31.88,56.58,0.62%
MO,"Altria Group, Inc.",Consumer Goods,Cigarettes,USA,1.0607E+11,14.49,54.74,-0.16%
MOS,The Mosaic Company,Basic Materials,Agricultural Chemicals,USA,10290000000,22.1,26.64,-0.71%
MPC,Marathon Petroleum Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,41370000000,11.49,59.9,-1.90%
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - Major,USA,1.9462E+11,32.06,74.58,-0.02%
MRO,Marathon Oil Corporation,Basic Materials,Independent Oil & Gas,USA,15420000000,14.37,18.36,-1.71%
MS,Morgan Stanley,Financial,Investment Brokerage - National,USA,81050000000,9.78,47.19,-0.34%
MSCI,MSCI Inc.,Technology,Processing Systems & Products,USA,18930000000,40.59,225.65,-0.17%
MSFT,Microsoft Corporation,Technology,Business Software & Services,USA,9.4992E+11,29.17,125.02,-0.33%
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,USA,24060000000,28.39,146.91,0.58%
MTB,M&T Bank Corporation,Financial,Regional - Northeast Banks,USA,23440000000,14.67,165.33,-1.09%
MTD,Mettler-Toledo International Inc.,Healthcare,Medical Instruments & Supplies,USA,18070000000,36.06,721.76,-0.26%
MU,"Micron Technology, Inc.",Technology,Semiconductor- Memory Chips,USA,47650000000,4.01,42.73,-0.09%
MXIM,"Maxim Integrated Products, Inc.",Technology,Semiconductor - Broad Line,USA,16250000000,22.85,60,0.62%
MYL,Mylan N.V.,Healthcare,Drugs - Generic,USA,13660000000,40.67,26.45,-0.55%
NAVI,Navient Corporation,Financial,Credit Services,USA,3030000000,9.81,12.77,2.74%
NBL,"Noble Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,13520000000,-,27.87,0.04%
NCLH,Norwegian Cruise Line Holdings Ltd.,Services,Resorts & Casinos,USA,12680000000,13.42,57.17,-0.23%
NDAQ,"Nasdaq, Inc.",Financial,Diversified Investments,USA,14860000000,19.99,89.95,0.33%
NEE,"NextEra Energy, Inc.",Utilities,Electric Utilities,USA,91030000000,14.54,190.73,0.50%
